NOMBRE,TALAVERA,AGRICULTOR ,ETERNIT,
CONECTOR DE COBRE 1/2,,,,
CONECTORES RJ45 PARA INTERCOMUNICADOR,,,,
CONECTOR PLUG CAT5e,,,,
CONF 3972700000144 0312400218 PROVE,,,,
CONFITILLO  ,,,,
CONTOMETRO TERM 80X80,,,,
CONTRLLER 100 GM,,,,
CORBAT X 1 KG,,,,
CORREA ACOLCHONADA RC-700 EAI/4CRV,,,,
COSAVET 80 WG X 1 KG,,,,
CRUCETA CON TOMADOR PLANO,,,,
CRUSETA DE CARDAN PEQUEÑO,,,,
CRUZETAS,,,,
CUERPO DE VALVULA (4074988) ,,,,
CUERPO VALVULA,,,,
CUMBRERA ART. PERFIL 4 INF GRISS,,,,
"CUMBRERA ART. PERFIL 4 INF ROJO			",,,,
CUMBRERA ART. PERFIL 4 SUP GRISS,,,,
"CUMBRERA ART. PERFIL 4 SUP. ROJO			",,,,
CUMBRERA FIJA PERFIL 4,,,,
CUMBRERA INFERIOR GRAN ONDA ,,,,
CUMBRERA INFERIOR TEJA ANDINA.,245,,21,
CUMBRERA SUPERIOR GRAN ONDA,,,,
CUMBRERA SUPERIOR TEJA ANDINA,391,,16,
CURBO DE LUZ KOPLAST,,,,
"	CURTINE -V X 1 KG",680,92,,
"CURVA1"" PAVCO",,,,
"CURVA C-10 1""",,,,
"CURVA DE 1"" TUBOPLAST",,,,
"CURVA PVC SEL DE 1"" PAVCO W",,,,
CURVA PVC SEL DE 3/4 PAVCO W,63,,,
CURZATE M8  1 KG ,,,,
CUTTER REFORZADO,,,,
CYTEX 1/2 LT,,,,
CYTEX X 1/4 LT,,20,,
"CYTEX X LT			",,,,
DESTRUCTOR X 1 LT,144,164,,
DFONDO X 50 KG,,,,
DIAFRAGMA (407424525),,,,
DICROICO LED 5W LUZ CALIDO ,,,,
DICROICOS LED 18W,,,,
DICROICOS LED 7W,,,,
DIFENOL 1/4,,,,
DIFENOL X LT,,,,
DIMECLOR X 1 LT,,,,
"DISCO C/ CONCRETO 7 1/4"" UIUSTOOLS",,,,
DISCO CONCRETO,,,,
DISCO CORTE DE CONCRETO,,,,
"DISCO CORTE DIAMANTADO CONTINUO 4-1/2""",,,3,
"DISCO CORTE FE-INOX BNA12 4-1/2""X3/64""",787,,375,
"DISCO CORTE FE-INOX BNA12 DE 7""X1/16""",1095,,50,
"DISCO CORTE FE-INOX BNA32 DE 14""X7/64""",,,,
DISCO CORTE METL 4 1/2 COD. 10664,,,,
"	DISCO CORTE METL 7 COD. 10665",,,,
DISCO DE 7 1/4 NARTON,,,,
DISCO DE CONCRETO KAMASA,,,,
DISCO DE CORTE Fº,,,,
DISCO DE CORTE Fº 4 1/2,,,,
"DISCO DE CORTE Fº 7""",,,,
DISCO DE CORTE Fº 7 X 1/4 NORTON,,,,
DISCO DE CORTE MADERA,,,,
DISCO DE EMBRAGUE BEQ-797,,,,
