F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
22/12/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,31/10/2024,UNI,3,06/11/2024,41,31/10/2024,38,6,,65,390,02/01/2024,JARDIN DEL ZEN
02/01/2024,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,11/11/2024,UNI,3,04/09/2024,2,11/11/2024,4,1,,39.9,39.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,12/09/2024,UNI,3,04/09/2024,8,12/09/2024,9,2,,49.9,99.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,01/11/2024,UNI,1,18/09/2024,30,01/11/2024,29,2,,65,130,02/01/2024,JARDIN DEL ZEN
02/01/2024,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,30/04/2024,UNI,2,30/04/2024,1,17/04/2024,1,2,,39.9,79.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,27/01/2024,UNI,3,,0,27/01/2024,1,2,,49.9,99.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,29/05/2024,UNI,3,29/05/2024,4,26/05/2024,4,3,,65,195,02/01/2024,JARDIN DEL ZEN
16/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,01/11/2024,UNI,0,16/10/2024,1,01/11/2024,1,0,,39.9,0,,JARDIN DEL ZEN
16/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,05/11/2024,UNI,0,16/10/2024,2,05/11/2024,1,1,,49.9,49.9,,JARDIN DEL ZEN
16/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,06/11/2024,UNI,0,06/11/2024,3,01/11/2024,1,2,,65,130,,JARDIN DEL ZEN
02/01/2024,414,602070010040015,,J0028,FRAGANCIA 10 ML CHIRIMOYA,10 ML,CHIRIMOYA,,,UNI,1,,0,,0,1,,39.9,39.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,444,602070010050015,,J0028,FRAGANCIA 20 ML CHIRIMOYA,20 ML,CHIRIMOYA,,,UNI,1,,0,,0,1,,49.9,49.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,474,602070010070015,,J0028,FRAGANCIA 30 ML CHIRIMOYA,30 ML,CHIRIMOYA,,17/10/2024,UNI,1,17/10/2024,1,12/09/2024,1,1,,65,65,02/01/2024,JARDIN DEL ZEN
02/01/2024,415,602070010040020,,J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,,16/11/2024,UNI,2,05/06/2024,1,16/11/2024,2,1,,39.9,39.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,445,602070010050020,,J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,,13/11/2024,UNI,2,13/11/2024,9,11/11/2024,9,2,,49.9,99.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,475,602070010070020,,J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,,13/11/2024,UNI,1,13/11/2024,5,09/11/2024,4,2,,65,130,02/01/2024,JARDIN DEL ZEN
17/05/2024,476,602070010070024,,J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,,17/11/2024,UNI,0,13/11/2024,42,17/11/2024,38,4,,65,260,,JARDIN DEL ZEN
02/01/2024,417,602070010040025,,J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,,08/11/2024,UNI,2,05/06/2024,1,08/11/2024,2,1,,39.9,39.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,447,602070010050025,,J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,,09/10/2024,UNI,1,09/10/2024,2,25/09/2024,2,1,,49.9,49.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,477,602070010070025,,J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,,15/09/2024,UNI,2,17/05/2024,2,15/09/2024,3,1,,65,65,02/01/2024,JARDIN DEL ZEN
02/01/2024,418,602070010040026,,J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,,05/09/2024,UNI,2,04/09/2024,3,05/09/2024,2,3,,39.9,119.7,02/01/2024,JARDIN DEL ZEN
02/01/2024,448,602070010050026,,J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,,05/09/2024,UNI,2,04/09/2024,4,05/09/2024,3,3,,49.9,149.7,02/01/2024,JARDIN DEL ZEN
02/01/2024,478,602070010070026,,J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,,18/09/2024,UNI,2,18/09/2024,8,13/09/2024,6,4,,65,260,02/01/2024,JARDIN DEL ZEN
05/01/2024,479,602070010070028,,J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,,14/11/2024,UNI,0,14/11/2024,50,09/11/2024,43,7,,65,455,,JARDIN DEL ZEN
02/01/2024,420,602070010040031,,J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,,25/04/2024,UNI,2,25/04/2024,2,17/04/2024,2,2,,39.9,79.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,450,602070010050031,,J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,,12/06/2024,UNI,3,01/02/2024,2,12/06/2024,2,3,,49.9,149.7,02/01/2024,JARDIN DEL ZEN
02/01/2024,480,602070010070031,,J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,,16/11/2024,UNI,4,04/09/2024,11,16/11/2024,14,1,,65,65,02/01/2024,JARDIN DEL ZEN
30/10/2024,1103,602070010040090,,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,10 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
30/10/2024,1104,602070010050090,,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,20 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
30/10/2024,1105,602070010070090,,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,30 ML,HIERBA LUISA  SILVESTRE,,30/10/2024,UNI,0,04/11/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
02/01/2024,421,602070010040033,,J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,,06/11/2024,UNI,2,06/11/2024,2,12/10/2024,2,2,,39.9,79.8,02/01/2024,JARDIN DEL ZEN
02/01/2024,451,602070010050033,,J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,,23/10/2024,UNI,2,23/10/2024,5,07/10/2024,4,2,,49.9,149.7,02/01/2024,JARDIN DEL ZEN
02/01/2024,481,602070010070033,,J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,,15/10/2024,UNI,3,25/09/2024,11,15/10/2024,12,2,,65,130,02/01/2024,JARDIN DEL ZEN
05/01/2024,422,602070010040035,,J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,,06/11/2024,UNI,0,06/11/2024,5,02/11/2024,3,2,,39.9,79.8,,JARDIN DEL ZEN
