F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,429,602070010040056,,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,,14/11/2024,UNI,3,08/11/2024,9,14/11/2024,11,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,459,602070010050056,,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,,16/11/2024,UNI,4,24/10/2024,40,16/11/2024,43,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,489,602070010070056,,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,,09/11/2024,UNI,7,08/11/2024,93,09/11/2024,97,3,,65,195,01/12/2023,JARDIN DEL ZEN
01/12/2023,430,602070010040059,,J0028,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,,12/09/2024,UNI,2,22/08/2024,1,12/09/2024,1,3,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
13/12/2023,460,602070010050059,,J0028,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,,10/05/2024,UNI,0,04/01/2024,6,10/05/2024,1,5,,49.9,249.5,,JARDIN DEL ZEN
01/12/2023,490,602070010070059,,J0028,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,,24/10/2024,UNI,2,17/10/2024,5,24/10/2024,6,1,,65,65,01/12/2023,JARDIN DEL ZEN
01/12/2023,431,602070010040060,,J0028,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,,29/08/2024,UNI,2,29/08/2024,1,22/08/2024,2,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,461,602070010050060,,J0028,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,,10/01/2024,UNI,2,10/01/2024,1,02/01/2024,1,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,491,602070010070060,,J0028,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,,24/10/2024,UNI,2,24/10/2024,5,18/10/2024,6,1,,65,65,01/12/2023,JARDIN DEL ZEN
01/12/2023,432,602070010040062,,J0028,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,,04/04/2024,UNI,3,,0,04/04/2024,2,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
11/04/2024,462,602070010050062,,J0028,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,,14/08/2024,UNI,0,14/08/2024,3,15/04/2024,1,2,,49.9,99.8,,JARDIN DEL ZEN
01/12/2023,492,602070010070062,,J0028,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,,14/08/2024,UNI,3,14/08/2024,1,07/07/2024,2,2,,65,130,01/12/2023,JARDIN DEL ZEN
11/04/2024,433,602070010040064,,J0028,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,,26/08/2024,UNI,0,11/04/2024,2,26/08/2024,1,0,,39.9,39.9,,JARDIN DEL ZEN
01/12/2023,463,602070010050064,,J0028,FRAGANCIA 20 ML SANDALO,20 ML,SANDALO,,07/11/2024,UNI,2,27/06/2024,6,07/11/2024,6,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,493,602070010070064,,J0028,FRAGANCIA 30 ML SANDALO,30 ML,SANDALO,,31/10/2024,UNI,2,31/10/2024,10,26/10/2024,10,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,494,602070010070065,,J0028,FRAGANCIA 30 ML SERENIDAD,30 ML,SERENIDAD,,18/11/2024,UNI,5,08/11/2024,98,18/11/2024,102,1,,65,65,01/12/2023,JARDIN DEL ZEN
24/10/2024,1100,602070010040084,,J0028,FRAGANCIA 10 ML TE BLANCO,10 ML,TE BLANCO,,24/10/2024,UNI,0,24/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
24/10/2024,1101,602070010050084,,J0028,FRAGANCIA 20 ML TE BLANCO,20 ML,TE BLANCO,,15/11/2024,UNI,0,24/10/2024,2,15/11/2024,1,1,,49.9,49.9,,JARDIN DEL ZEN
24/10/2024,1102,602070010070084,,J0028,FRAGANCIA 30 ML TE BLANCO,30 ML,TE BLANCO,,12/11/2024,UNI,0,24/10/2024,2,12/11/2024,1,1,,65,65,,JARDIN DEL ZEN
01/12/2023,872,602070010040083,,J0028,FRAGANCIA 10 ML TÉ VERBENA,10 ML,TÉ VERBENA,,09/05/2024,UNI,2,09/05/2024,3,23/04/2024,3,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
24/01/2024,879,602070010050083,,J0028,FRAGANCIA 20 ML TÉ VERBENA,20 ML,TÉ VERBENA,,22/08/2024,UNI,0,14/08/2024,18,22/08/2024,15,3,,49.9,149.7,,JARDIN DEL ZEN
