F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,FRAGANCIA 30 ML HIERBA LUISA,AROMATIZADORES,FRAGANCIAS,30 ML,,HIERBA LUISA,,6,65
01/11/2023,FRAGANCIA 10 ML JAZMIN,AROMATIZADORES,FRAGANCIAS,10 ML,,JAZMIN,,0,39.9
01/11/2023,FRAGANCIA 20 ML JAZMIN,AROMATIZADORES,FRAGANCIAS,20 ML,,JAZMIN,,3,49.9
01/11/2023,FRAGANCIA 30 ML JAZMIN,AROMATIZADORES,FRAGANCIAS,30 ML,,JAZMIN,,2,65
01/11/2023,FRAGANCIA 10 ML LAVANDA,AROMATIZADORES,FRAGANCIAS,10 ML,,LAVANDA,,0,39.9
01/11/2023,FRAGANCIA 20 ML LAVANDA,AROMATIZADORES,FRAGANCIAS,20 ML,,LAVANDA,,3,49.9
01/11/2023,FRAGANCIA 30 ML LAVANDA,AROMATIZADORES,FRAGANCIAS,30 ML,,LAVANDA,,4,65
01/11/2023,FRAGANCIA 10 ML LIMON,AROMATIZADORES,FRAGANCIAS,10 ML,,LIMON,,0,39.9
01/11/2023,FRAGANCIA 20 ML LIMON,AROMATIZADORES,FRAGANCIAS,20 ML,,LIMON,,1,49.9
01/11/2023,FRAGANCIA 30 ML LIMON,AROMATIZADORES,FRAGANCIAS,30 ML,,LIMON,,2,65
01/11/2023,FRAGANCIA 10 ML MANDARINA,AROMATIZADORES,FRAGANCIAS,10 ML,,MANDARINA,,0,39.9
01/11/2023,FRAGANCIA 20 ML MANDARINA,AROMATIZADORES,FRAGANCIAS,20 ML,,MANDARINA,,0,49.9
01/11/2023,FRAGANCIA 30 ML MANDARINA,AROMATIZADORES,FRAGANCIAS,30 ML,,MANDARINA,,1,65
01/11/2023,FRAGANCIA 10 ML MANZANA,AROMATIZADORES,FRAGANCIAS,10 ML,,MANZANA,,0,39.9
