F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,21/10/2024,UNI,3,08/01/2024,3,21/10/2024,6,0,,39.9,0,01/10/2023,JARDIN DEL ZEN
01/10/2023,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,18/10/2024,UNI,2,18/10/2024,8,09/10/2024,8,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,15/11/2024,UNI,2,15/11/2024,9,08/11/2024,9,2,,65,130,01/10/2023,JARDIN DEL ZEN
18/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,04/11/2024,UNI,0,04/11/2024,3,,0,3,,39.9,119.7,,JARDIN DEL ZEN
18/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,18/10/2024,UNI,0,18/10/2024,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
18/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,25/10/2024,UNI,0,25/10/2024,6,19/10/2024,2,4,,65,260,,JARDIN DEL ZEN
01/10/2023,414,602070010040015,,J0028,FRAGANCIA 10 ML CHIRIMOYA,10 ML,CHIRIMOYA,,,UNI,2,,0,,0,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,444,602070010050015,,J0028,FRAGANCIA 20 ML CHIRIMOYA,20 ML,CHIRIMOYA,,17/12/2023,UNI,2,,0,17/12/2023,1,1,,49.9,49.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,474,602070010070015,,J0028,FRAGANCIA 30 ML CHIRIMOYA,30 ML,CHIRIMOYA,,,UNI,1,,0,,0,1,,65,65,01/10/2023,JARDIN DEL ZEN
01/10/2023,415,602070010040020,,J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,,15/11/2024,UNI,2,15/11/2024,5,03/09/2024,5,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,445,602070010050020,,J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,,15/11/2024,UNI,2,15/11/2024,5,03/09/2024,5,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,475,602070010070020,,J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,,15/11/2024,UNI,2,15/11/2024,6,28/08/2024,6,2,,65,130,01/10/2023,JARDIN DEL ZEN
20/05/2024,476,602070010070024,,J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,,15/11/2024,UNI,0,15/11/2024,35,10/11/2024,29,6,,65,390,,JARDIN DEL ZEN
01/10/2023,417,602070010040025,,J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,,15/11/2024,UNI,1,15/11/2024,4,02/07/2024,3,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,447,602070010050025,,J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,,15/11/2024,UNI,2,15/11/2024,4,18/10/2024,4,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
06/11/2023,477,602070010070025,,J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,,15/11/2024,UNI,0,15/11/2024,6,28/08/2024,4,2,,65,130,,JARDIN DEL ZEN
01/10/2023,418,602070010040026,,J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,,24/11/2023,UNI,2,24/11/2023,1,18/11/2023,1,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,448,602070010050026,,J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,,15/11/2024,UNI,2,15/11/2024,4,14/09/2024,4,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,478,602070010070026,,J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,,04/10/2024,UNI,2,04/10/2024,7,25/09/2024,7,2,,65,130,01/10/2023,JARDIN DEL ZEN
24/12/2023,876,602070010050028,,J0028,FRAGANCIA 20 ML FELICIDAD,20 ML,FELICIDAD,,24/12/2023,UNI,0,,0,24/12/2023,0,0,,49.9,0,,JARDIN DEL ZEN
01/10/2023,479,602070010070028,,J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,,17/11/2024,UNI,5,15/11/2024,61,17/11/2024,62,4,,65,260,01/10/2023,JARDIN DEL ZEN
