F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/11/2023,485,602070010070042,,J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,,08/10/2024,UNI,1,20/12/2023,4,08/10/2024,4,1,,65,65,01/11/2023,JARDIN DEL ZEN
01/11/2023,427,602070010040050,,J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,,21/08/2024,UNI,1,21/08/2024,2,23/04/2024,1,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,457,602070010050050,,J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,,25/03/2024,UNI,1,25/03/2024,1,25/02/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,487,602070010070050,,J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,,24/11/2023,UNI,1,09/11/2023,1,24/11/2023,1,1,,65,65,01/11/2023,JARDIN DEL ZEN
24/11/2023,428,602070010040053,,J0028,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,,24/11/2023,UNI,0,24/11/2023,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
06/03/2024,458,602070010050053,,J0028,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,,06/03/2024,UNI,0,06/03/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
11/04/2024,488,602070010070053,,J0028,FRAGANCIA 30 ML MUÑA,30 ML,MUÑA,,11/04/2024,UNI,0,11/04/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
01/11/2023,429,602070010040056,,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,,10/10/2024,UNI,1,10/10/2024,7,03/10/2024,7,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,459,602070010050056,,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,,19/09/2024,UNI,1,19/09/2024,8,21/08/2024,7,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,489,602070010070056,,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,,15/11/2024,UNI,1,15/11/2024,11,12/11/2024,11,1,,65,65,01/11/2023,JARDIN DEL ZEN
