F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,08/11/2024,UNI,1,08/11/2024,3,13/10/2024,3,1,,57.9,57.9,01/12/2023,JARDIN DEL ZEN
06/03/2024,622,602030010000000,,J0024,CAJONERAS,.,.,,30/06/2024,UNI,0,06/03/2024,2,30/06/2024,1,1,,28.5,28.5,,JARDIN DEL ZEN
01/12/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,,UNI,2,,0,,0,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,21/10/2024,UNI,3,,0,21/10/2024,2,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,,UNI,2,,0,,0,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,07/10/2024,UNI,2,11/06/2024,4,07/10/2024,3,3,,65,195,01/12/2023,JARDIN DEL ZEN
01/12/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,27/06/2024,UNI,2,20/12/2023,2,27/06/2024,1,3,,39.9,119.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,440,602070010050004,,J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,,07/07/2024,UNI,1,20/12/2023,1,07/07/2024,1,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,470,602070010070004,,J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,,20/12/2023,UNI,2,20/12/2023,2,,0,4,,65,260,01/12/2023,JARDIN DEL ZEN
01/12/2023,471,602070010070005,,J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,,10/10/2024,UNI,2,20/12/2023,4,10/10/2024,6,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,412,602070010040008,,J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,,11/06/2024,UNI,2,11/06/2024,2,02/06/2024,1,3,,39.9,119.7,01/12/2023,JARDIN DEL ZEN
