Category,Description,Tag1,Tag2,brand_id
Burbujas,BURBUJAS DE BAÑO 520 ML ARMONÍA,520 ML,ARMONÍA,1
Burbujas,BURBUJAS DE BAÑO 173 ML ENERGÍA,173 ML,ENERGÍA,1
Burbujas,BURBUJAS DE BAÑO 520 ML ENERGÍA,520 ML,ENERGÍA,1
Burbujas,BURBUJAS DE BAÑO 34 ML FELICIDAD,34 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 173 ML FELICIDAD,173 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 520 ML FELICIDAD,520 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 34 ML SERENIDAD,34 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 173 ML SERENIDAD,173 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 520 ML SERENIDAD,520 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 34 ML TRANQ.,34 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO 173 ML TRANQ.,173 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO 520 ML TRANQ.,520 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO HOTELERO 34 ML SERENIDAD,34 ML,SERENIDAD,1
Colonias,COLONIA 10 ML AMOR,10 ML,AMOR,1
Colonias,COLONIA 180 ML AMOR,180 ML,AMOR,1
Colonias,COLONIA 10 ML ARMONÍA,10 ML,ARMONÍA,1
Colonias,COLONIA 180 ML ARMONÍA,180 ML,ARMONÍA,1
Colonias,COLONIA 10 ML ENERGÍA,10 ML,ENERGÍA,1
Colonias,COLONIA 180 ML ENERGÍA,180 ML,ENERGÍA,1
Colonias,COLONIA 10 ML FELICIDAD,10 ML,FELICIDAD,1
Colonias,COLONIA 180 ML FELICIDAD,180 ML,FELICIDAD,1
Colonias,COLONIA 10 ML SERENIDAD,10 ML,SERENIDAD,1
Colonias,COLONIA 180 ML SERENIDAD,180 ML,SERENIDAD,1
Colonias,COLONIA 10 ML TRANQ.,10 ML,TRANQ.,1
Colonias,COLONIA 180 ML TRANQ.,180 ML,TRANQ.,1
Baño,CONDITIONER CORPORATIVO GALON ARMONÍA,GALON,ARMONÍA,1
Baño,CONDITIONER CORPORATIVO GALON SERENIDAD,GALON,SERENIDAD,1
Cremas,CREMA HUMECTANTE 30 ML AMOR,30 ML,AMOR,1
Cremas,CREMA HUMECTANTE 190 GR AMOR,190 GR,AMOR,1
Cremas,CREMA HUMECTANTE 30 ML ARMONÍA,30 ML,ARMONÍA,1
Cremas,CREMA HUMECTANTE 190 GR ARMONÍA,190 GR,ARMONÍA,1
Cremas,CREMA HUMECTANTE 30 ML ENERGÍA,30 ML,ENERGÍA,1
Cremas,CREMA HUMECTANTE 190 GR ENERGÍA,190 GR,ENERGÍA,1
Cremas,CREMA HUMECTANTE 30 ML FELICIDAD,30 ML,FELICIDAD,1
Cremas,CREMA HUMECTANTE 190 GR FELICIDAD,190 GR,FELICIDAD,1
Cremas,CREMA HUMECTANTE 30 ML SERENIDAD,30 ML,SERENIDAD,1
Cremas,CREMA HUMECTANTE 190 GR SERENIDAD,190 GR,SERENIDAD,1
Cremas,CREMA HUMECTANTE 30 ML TRANQ.,30 ML,TRANQ.,1
Cremas,CREMA HUMECTANTE 190 GR TRANQ.,190 GR,TRANQ.,1
Repelentes,REPELENTE 100 ML -,100 ML,,1
Repelentes,REPELENTE 60 ML -,60 ML,,1
Repelentes,REPELENTE GALON -,GALON,,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR COCO,400 GR,COCO,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR HIERBA LUISA,400 GR,HIERBA LUISA,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR LIMON,400 GR,LIMON,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR ROSAS,400 GR,ROSAS,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR TE VERDE,400 GR,TE VERDE,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR UVA,400 GR,UVA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML AMOR,220 ML,AMOR,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML ARMONÍA,220 ML,ARMONÍA,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML BAMBOO,34 ML,BAMBOO,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML BAMBOO,120 ML,BAMBOO,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML DURAZNO MANZANA,34 ML,DURAZNO MANZANA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML DURAZNO MANZANA,120 ML,DURAZNO MANZANA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML ENERGÍA,220 ML,ENERGÍA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML FELICIDAD,220 ML,FELICIDAD,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML HIERBA LUISA,34 ML,HIERBA LUISA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML HIERBA LUISA,120 ML,HIERBA LUISA,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML MARACUYA,34 ML,MARACUYA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML MARACUYA,120 ML,MARACUYA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML ORQUIDEA BLANCA,120 ML,ORQUIDEA BLANCA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML SERENIDAD,220 ML,SERENIDAD,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML TRANQ.,220 ML,TRANQ.,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR AMOR,200 GR,AMOR,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR ARMONÍA,200 GR,ARMONÍA,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR ENERGÍA,200 GR,ENERGÍA,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR FELICIDAD,200 GR,FELICIDAD,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR SERENIDAD,200 GR,SERENIDAD,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR TRANQ.,200 GR,TRANQ.,1
Baño,GEL ANTIBACTERIAL 35 ML AMOR,35 ML,AMOR,1
Baño,GEL ANTIBACTERIAL 35 ML ARMONÍA,35 ML,ARMONÍA,1
Baño,GEL ANTIBACTERIAL 35 ML ENERGÍA,35 ML,ENERGÍA,1
Baño,GEL ANTIBACTERIAL 35 ML FELICIDAD,35 ML,FELICIDAD,1
Baño,GEL ANTIBACTERIAL 35 ML SERENIDAD,35 ML,SERENIDAD,1
Baño,GEL ANTIBACTERIAL 35 ML TRANQ.,35 ML,TRANQ.,1
Jabones,JABON AROMANDINA 100 GR CHIRIMOYA,100 GR,CHIRIMOYA,1
Jabones,JABON AROMANDINA 100 GR COCA MENTA,100 GR,COCA MENTA,1
Jabones,JABON AROMANDINA 100 GR HIERBA LUISA,100 GR,HIERBA LUISA,1
Jabones,JABON AROMANDINA 100 GR LUCUMA,100 GR,LUCUMA,1
Jabones,JABON AROMANDINA 100 GR MUÑA,100 GR,MUÑA,1
Jabones,JABON AROMANDINA 100 GR PALO SANTO,100 GR,PALO SANTO,1
Jabones,JABON AROMANDINA 100 GR RUDA,100 GR,RUDA,1
Jabones,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,100 GR,ALMENDRA VAINILLA,1
Jabones,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,100 GR,FRUTAS SILVESTRES,1
Jabones,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",100 GR,"LECHE, AVENA Y MIEL",1
Jabones,JABON DE LA ABUELA 100 GR LIMA LAVANDA,100 GR,LIMA LAVANDA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML AMOR,200 ML,AMOR,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML AMOR,50 ML,AMOR,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,200 ML,BAMBOO,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML BAMBOO,50 ML,BAMBOO,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,200 ML,ENERGÍA,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML ENERGÍA,50 ML,ENERGÍA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML HIERBA LUISA,200 ML,HIERBA LUISA,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML HIERBA LUISA,50 ML,HIERBA LUISA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,200 ML,TE VERDE,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML TE VERDE,50 ML,TE VERDE,1
Jabones,JABON GLICERINA - TAJADA,,,1
Jabones,JABON HERBAL 180 GR ASTRINGENTE,180 GR,ASTRINGENTE,1
Jabones,JABON HERBAL 180 GR EXFOLIANTE,180 GR,EXFOLIANTE,1
Jabones,JABON HERBAL 180 GR HUMECTANTE,180 GR,HUMECTANTE,1
Jabones,JABON HERBAL 180 GR RUDA,180 GR,RUDA,1
Jabones,JABON HERBAL 180 GR TONIFICANTE,180 GR,TONIFICANTE,1
Jabones,JABON HERBAL HOTELERO 33 GR HIERBA LUISA,33 GR,HIERBA LUISA,1
Jabones,JABON LIQUIDO 30 ML AMOR,30 ML,AMOR,1
Jabones,JABON LIQUIDO 200 ML AMOR,200 ML,AMOR,1
Jabones,JABON LIQUIDO 150 ML AMOR,150 ML,AMOR,1
Jabones,JABON LIQUIDO 30 ML ARMONÍA,30 ML,ARMONÍA,1
Jabones,JABON LIQUIDO 150 ML ARMONÍA,150 ML,ARMONÍA,1
Jabones,JABON LIQUIDO 200 ML ENERGÍA,200 ML,ENERGÍA,1
Jabones,JABON LIQUIDO 150 ML ENERGÍA,150 ML,ENERGÍA,1
Jabones,JABON LIQUIDO 30 ML FELICIDAD,30 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 200 ML FELICIDAD,200 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 150 ML FELICIDAD,150 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 30 ML SERENIDAD,30 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 200 ML SERENIDAD,200 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 150 ML SERENIDAD,150 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 30 ML TRANQ.,30 ML,TRANQ.,1
Jabones,JABON LIQUIDO 200 ML TRANQ.,200 ML,TRANQ.,1
Jabones,JABON LIQUIDO 150 ML TRANQ.,150 ML,TRANQ.,1
Jabones,JABON LIQUIDO HOTELERO GALON ARMONÍA,GALON,ARMONÍA,1
